Agents,Network,,,,,,,,,,,,,,,,,,,,
1000,small world,0.1236,0.120666667,0.138516667,0.120216667,0.123083333,0.12175,0.127783333,0.128,0.13495,0.123966667,0.123933333,0.125616667,0.12055,0.119766667,0.12895,0.121266667,0.121283333,0.137933333,0.1208,0.1269
5000,small world,0.21835,0.21015,0.218,0.2194,0.217683333,0.2228,0.219716667,0.209316667,0.215566667,0.219016667,0.218783333,0.20995,0.205216667,0.21885,0.2094,0.220266667,0.21735,0.207683333,0.2095,0.209516667
10000,small world,0.35105,0.373,0.340433333,0.3337,0.3303,0.33895,0.334266667,0.33715,0.327783333,0.33285,0.343733333,0.330583333,0.30915,0.3281,0.33145,0.344,0.3463,0.361466667,0.32605,0.315583333
40000,small world,1.233083333,1.209333333,1.20255,1.22015,1.2085,1.216683333,1.195,1.21795,1.253316667,1.2152,1.300016667,1.140316667,1.315866667,1.219033333,1.179083333,1.206933333,1.2017,1.19595,1.1873,1.1873
60000,small world,2.295566667,2.022083333,2.11735,2.042816667,2.08125,2.353283333,1.963066667,1.90815,1.916616667,1.973833333,2.163583333,2.0077,2.162266667,2.157183333,2.170633333,2.1764,2.163266667,2.04985,2.186283333,2.22155
1000,newman,0.15835,0.1315,0.129083333,0.126633333,0.138016667,0.133116667,0.133766667,0.13215,0.1561,0.14885,0.133683333,0.126416667,0.13525,0.126216667,0.128383333,0.148216667,0.164783333,0.126283333,0.131133333,0.130716667
5000,newman,0.218933333,0.2198,0.222833333,0.238883333,0.22655,0.215933333,0.2208,0.250833333,0.2184,0.2225,0.218033333,0.214933333,0.2302,0.22325,0.2532,0.255383333,0.224533333,0.251833333,0.218666667,0.221833333
10000,newman,0.322233333,0.33385,0.361066667,0.351233333,0.33115,0.361333333,0.344783333,0.343083333,0.35545,0.338533333,0.336583333,0.360883333,0.344433333,0.34735,0.365966667,0.328233333,0.368516667,0.371733333,0.360666667,0.366
40000,newman,1.235516667,1.25455,1.234383333,1.37345,1.232033333,1.24355,1.256433333,1.215416667,1.229666667,1.241683333,1.20765,1.186866667,1.238983333,1.17615,1.219233333,1.191733333,1.3491,1.365833333,1.19935,1.177
60000,newman,1.8281,1.857366667,1.877083333,1.859683333,1.821483333,1.797766667,1.783433333,1.92405,1.870833333,1.840933333,1.874583333,1.8221,1.866283333,1.760116667,1.719666667,1.78365,1.838,1.833566667,1.857433333,1.8455
1000,barabasi,0.1353,0.122566667,0.126933333,0.128733333,0.122416667,0.126683333,0.124016667,0.131766667,0.147116667,0.125716667,0.127933333,0.121733333,0.149416667,0.146216667,0.124416667,0.124566667,0.136033333,0.143366667,0.145516667,0.142466667
5000,barabasi,0.231733333,0.210833333,0.237883333,0.227133333,0.21135,0.2225,0.212883333,0.232716667,0.216483333,0.207866667,0.214016667,0.21995,0.274,0.2083,0.217283333,0.2233,0.21435,0.232083333,0.218533333,0.221016667
10000,barabasi,0.323933333,0.3323,0.368116667,0.34335,0.342933333,0.3534,0.320683333,0.330966667,0.347983333,0.341183333,0.323833333,0.359366667,0.310666667,0.357716667,0.367533333,0.359566667,0.355566667,0.36705,0.357516667,0.34605
40000,barabasi,1.21065,1.238083333,1.224983333,1.317016667,1.224066667,1.26045,1.234333333,1.216,1.22545,1.219133333,1.254783333,1.25895,1.204566667,1.201266667,1.201833333,1.197566667,1.381966667,1.189416667,1.182133333,1.199966667
60000,barabasi,2.08275,1.859266667,1.841616667,1.851533333,1.823866667,2.154266667,2.127416667,2.27225,2.2789,2.0616,1.82395,1.8487,1.888966667,1.890266667,1.75325,2.18205,2.072483333,1.856183333,1.9959,1.979016667
1000,scale-free,0.160833333,0.137733333,0.13575,0.129616667,0.131666667,0.13965,0.125416667,0.131783333,0.1666,0.152816667,0.151066667,0.151,0.131883333,0.132466667,0.132283333,0.168416667,0.14985,0.150366667,0.1491,0.1498
5000,scale-free,0.2328,0.2325,0.243333333,0.233383333,0.220733333,0.230266667,0.220533333,0.20825,0.239716667,0.278166667,0.219166667,0.2267,0.217016667,0.228016667,0.214283333,0.217933333,0.221133333,0.207066667,0.23805,0.22515
10000,scale-free,0.336183333,0.374033333,0.355233333,0.3487,0.38885,0.353983333,0.356116667,0.378616667,0.359566667,0.355,0.366316667,0.358066667,0.348566667,0.341866667,0.339383333,0.350816667,0.331616667,0.325916667,0.352816667,0.33455
40000,scale-free,1.308483333,1.23515,1.233633333,1.242016667,1.233616667,1.24115,1.215383333,1.2441,1.20165,1.3432,1.237233333,1.192783333,1.246033333,1.231433333,1.2255,1.22335,1.204333333,1.294966667,1.200916667,1.18385
60000,scale-free,2.02105,1.843983333,1.9571,1.8782,1.89445,1.953866667,1.992316667,1.971283333,2.060416667,2.0207,1.98405,1.9876,2.01145,1.996433333,2.061716667,1.993333333,2.00995,1.917016667,1.94135,1.980583333
